"Pomurska";6804;5291;577;6809;6263;678;7046;6333;695
"Podravska";21445;19628;2783;21865;22398;3313;23236;22713;3354
"Koroska";4686;3649;378;4650;4254;456;4855;4267;467
"Savinjska";17432;13959;1656;17490;16328;2054;18253;16560;2118
"Zasavska";2961;2035;226;2903;2402;269;3024;2423;269
"Spodnjeposavska";4499;3504;285;4372;4277;349;4599;4305;362
"Jugovzhodna Slovenija";9955;7337;838;9685;8956;1040;10058;9091;1057
"Osrednjeslovenska";39398;54149;11244;39691;59279;13295;42389;60457;13666
"Gorenjska";14407;14300;2038;14420;16246;2455;14992;16423;2518
"Notranjsko-kraska";3790;3089;367;3673;3644;452;3864;3716;465
"Goriska";8492;8010;813;8229;9242;1023;8516;9369;1052
"Obalno-kraska";8583;8078;983;8346;9381;1211;8643;9487;1270


